ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-04-12,1831297.9364880873,1734078.1499590913,1945225.3233592084,1831297.9364880873,1831297.9364880873,7298.791977862603,7298.791977862603,7298.791977862603,7298.791977862603,7298.791977862603,7298.791977862603,0.0,0.0,0.0,1838596.72846595
2020-04-13,1911521.1431580186,1807612.0364000446,2011837.2264525592,1911521.1431580186,1911521.1431580186,-2102.75545463716,-2102.75545463716,-2102.75545463716,-2102.75545463716,-2102.75545463716,-2102.75545463716,0.0,0.0,0.0,1909418.3877033815
2020-04-14,1991744.34982795,1870733.7088696028,2083015.5291102987,1991744.34982795,1991744.34982795,-16846.23996071578,-16846.23996071578,-16846.23996071578,-16846.23996071578,-16846.23996071578,-16846.23996071578,0.0,0.0,0.0,1974898.109867234
2020-04-15,2071997.6189304146,1950348.1786082636,2162026.5646912106,2071997.6189304146,2071997.6189304146,-11063.558307282314,-11063.558307282314,-11063.558307282314,-11063.558307282314,-11063.558307282314,-11063.558307282314,0.0,0.0,0.0,2060934.0606231322
2020-04-16,2152250.8880328783,2044414.9481267133,2255828.7366588716,2152250.8880328783,2152250.8880328783,-1117.5438632991302,-1117.5438632991302,-1117.5438632991302,-1117.5438632991302,-1117.5438632991302,-1117.5438632991302,0.0,0.0,0.0,2151133.344169579
2020-04-17,2232504.157135343,2142888.2303084875,2349487.7695209696,2232504.157135343,2232504.157135343,10080.978736670888,10080.978736670888,10080.978736670888,10080.978736670888,10080.978736670888,10080.978736670888,0.0,0.0,0.0,2242585.135872014
2020-04-18,2312757.4262378076,2224087.2935875524,2434416.6210521776,2312757.4262378076,2312757.4262378076,13750.32687137604,13750.32687137604,13750.32687137604,13750.32687137604,13750.32687137604,13750.32687137604,0.0,0.0,0.0,2326507.7531091836
2020-04-19,2393010.6953402716,2297024.019216452,2510963.7352590407,2393010.6953402716,2393010.6953402716,7298.791977863195,7298.791977863195,7298.791977863195,7298.791977863195,7298.791977863195,7298.791977863195,0.0,0.0,0.0,2400309.487318135
2020-04-20,2473263.9644427355,2362477.535373105,2576546.77492115,2473263.9644427355,2473263.9644427355,-2102.755454646778,-2102.755454646778,-2102.755454646778,-2102.755454646778,-2102.755454646778,-2102.755454646778,0.0,0.0,0.0,2471161.2089880886
2020-04-21,2553521.22819329,2435699.9490290843,2641937.524708263,2553521.22819329,2553521.22819329,-16846.239960697294,-16846.239960697294,-16846.239960697294,-16846.239960697294,-16846.239960697294,-16846.239960697294,0.0,0.0,0.0,2536674.9882325926
2020-04-22,2633778.4919438455,2522749.903719035,2727685.1683886,2633778.4919438455,2633778.4919438455,-11063.558307269572,-11063.558307269572,-11063.558307269572,-11063.558307269572,-11063.558307269572,-11063.558307269572,0.0,0.0,0.0,2622714.933636576
2020-04-23,2714035.755694401,2604927.7124669543,2820466.151298301,2714035.755694401,2714035.755694401,-1117.5438632869739,-1117.5438632869739,-1117.5438632869739,-1117.5438632869739,-1117.5438632869739,-1117.5438632869739,0.0,0.0,0.0,2712918.211831114
2020-04-24,2794293.0194449555,2695822.280628874,2907842.039422653,2794293.0194449555,2794293.0194449555,10080.97873668617,10080.97873668617,10080.97873668617,10080.97873668617,10080.97873668617,10080.97873668617,0.0,0.0,0.0,2804373.9981816416
2020-04-25,2874550.28319551,2786070.7742639976,2994042.754070671,2874550.28319551,2874550.28319551,13750.326871366065,13750.326871366065,13750.326871366065,13750.326871366065,13750.326871366065,13750.326871366065,0.0,0.0,0.0,2888300.6100668763
2020-04-26,2954807.546946067,2858535.377708516,3069853.2529969946,2954807.546946067,2954807.546946067,7298.791977854479,7298.791977854479,7298.791977854479,7298.791977854479,7298.791977854479,7298.791977854479,0.0,0.0,0.0,2962106.3389239213
2020-04-27,3035781.9611782315,2918654.946886707,3141020.734621665,3035781.9611782315,3035781.9611782315,-2102.755454598226,-2102.755454598226,-2102.755454598226,-2102.755454598226,-2102.755454598226,-2102.755454598226,0.0,0.0,0.0,3033679.2057236335
2020-04-28,3116756.375410395,2994612.322605467,3205341.1001676926,3116756.375410395,3116756.375410395,-16846.239960700885,-16846.239960700885,-16846.239960700885,-16846.239960700885,-16846.239960700885,-16846.239960700885,0.0,0.0,0.0,3099910.1354496945
2020-04-29,3197730.7896425594,3083951.9905071957,3282895.9417481977,3197730.7896425594,3197730.7896425594,-11063.558307271753,-11063.558307271753,-11063.558307271753,-11063.558307271753,-11063.558307271753,-11063.558307271753,0.0,0.0,0.0,3186667.2313352874
2020-04-30,3278705.203874724,3168753.375436823,3378563.575543991,3278705.203874724,3278705.203874724,-1117.5438632864198,-1117.5438632864198,-1117.5438632864198,-1117.5438632864198,-1117.5438632864198,-1117.5438632864198,0.0,0.0,0.0,3277587.6600114377
2020-05-01,3359679.6181068886,3266415.8605601974,3482635.142691429,3359679.6181068886,3359679.6181068886,10080.978736647603,10080.978736647603,10080.978736647603,10080.978736647603,10080.978736647603,10080.978736647603,0.0,0.0,0.0,3369760.596843536
2020-05-02,3440654.0323390523,3347288.3499729764,3565564.2724664765,3440654.0323390523,3440654.0323390523,13750.326871369938,13750.326871369938,13750.326871369938,13750.326871369938,13750.326871369938,13750.326871369938,0.0,0.0,0.0,3454404.3592104223
2020-05-03,3522164.9942566697,3425144.1205222765,3634413.014371026,3522164.9942566697,3522164.9942566697,7298.791977855071,7298.791977855071,7298.791977855071,7298.791977855071,7298.791977855071,7298.791977855071,0.0,0.0,0.0,3529463.7862345246
2020-05-04,3603675.95617429,3501561.0104234912,3698382.3715301324,3603675.95617429,3603675.95617429,-2102.755454607844,-2102.755454607844,-2102.755454607844,-2102.755454607844,-2102.755454607844,-2102.755454607844,0.0,0.0,0.0,3601573.200719682
